TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
19;0;0.397;0.794;1.191;1.588;2.033;2.477;2.827;3.176;3.398;3.621;3.688;3.754;3.815;3.875;3.907;3.938;3.97;4.002;3.973;4.002;3.996;3.989;4.024;4.059;4.094;4.129;4.129;4.129;4.062;3.996;3.984;3.973;3.961;3.95;3.938;3.927;3.916;3.904;3.893;3.881;3.869;3.856;3.843;3.83;3.818;3.805;3.792;3.78;3.767;3.754;3.721;3.688;3.654;3.621;3.587;3.554;3.521;3.487;3.454;3.421;3.387;3.354;3.321;3.287;3.254;3.221;3.187;3.154;3.121;3.087
20;0;0.418;0.836;1.254;1.672;2.14;2.608;2.976;3.343;3.577;3.811;3.882;3.952;4.015;4.079;4.112;4.146;4.179;4.213;4.183;4.213;4.206;4.199;4.236;4.273;4.31;4.346;4.346;4.346;4.276;4.206;4.194;4.182;4.17;4.158;4.146;4.134;4.122;4.11;4.098;4.086;4.072;4.059;4.045;4.032;4.019;4.005;3.992;3.979;3.965;3.952;3.917;3.882;3.847;3.811;3.776;3.741;3.706;3.671;3.636;3.601;3.566;3.531;3.495;3.46;3.425;3.39;3.355;3.32;3.285;3.25
21;0;0.439;0.878;1.316;1.755;2.247;2.738;3.124;3.51;3.756;4.002;4.076;4.149;4.216;4.283;4.318;4.353;4.388;4.423;4.392;4.423;4.416;4.409;4.448;4.486;4.525;4.564;4.564;4.564;4.49;4.416;4.404;4.391;4.378;4.366;4.353;4.34;4.328;4.315;4.302;4.29;4.276;4.262;4.248;4.234;4.22;4.206;4.192;4.177;4.163;4.149;4.113;4.076;4.039;4.002;3.965;3.928;3.891;3.855;3.818;3.781;3.744;3.707;3.67;3.633;3.597;3.56;3.523;3.486;3.449;3.412
22;0;0.46;0.919;1.379;1.839;2.354;2.869;3.273;3.678;3.935;4.193;4.27;4.347;4.417;4.487;4.524;4.56;4.597;4.634;4.601;4.634;4.627;4.619;4.66;4.7;4.741;4.781;4.781;4.781;4.704;4.627;4.613;4.6;4.587;4.574;4.56;4.547;4.534;4.521;4.507;4.494;4.479;4.465;4.45;4.435;4.421;4.406;4.391;4.376;4.362;4.347;4.308;4.27;4.231;4.193;4.154;4.115;4.077;4.038;3.999;3.961;3.922;3.884;3.845;3.806;3.768;3.729;3.691;3.652;3.613;3.575
23;0;0.481;0.961;1.442;1.922;2.461;2.999;3.422;3.845;4.114;4.383;4.464;4.545;4.618;4.691;4.729;4.768;4.806;4.844;4.81;4.844;4.837;4.829;4.871;4.914;4.956;4.998;4.998;4.998;4.918;4.837;4.823;4.809;4.795;4.781;4.768;4.754;4.74;4.726;4.712;4.698;4.683;4.668;4.652;4.637;4.621;4.606;4.591;4.575;4.56;4.545;4.504;4.464;4.423;4.383;4.343;4.302;4.262;4.222;4.181;4.141;4.101;4.06;4.02;3.979;3.939;3.899;3.858;3.818;3.778;3.737
24;0;0.501;1.003;1.504;2.006;2.568;3.129;3.571;4.012;4.293;4.574;4.658;4.742;4.818;4.895;4.935;4.975;5.015;5.055;5.019;5.055;5.047;5.039;5.083;5.127;5.171;5.216;5.216;5.216;5.131;5.047;5.033;5.018;5.004;4.989;4.975;4.96;4.946;4.932;4.917;4.903;4.887;4.871;4.855;4.838;4.822;4.806;4.79;4.774;4.758;4.742;4.7;4.658;4.616;4.574;4.532;4.489;4.447;4.405;4.363;4.321;4.279;4.237;4.195;4.152;4.11;4.068;4.026;3.984;3.942;3.9
25;0;0.522;1.045;1.567;2.09;2.675;3.26;3.719;4.179;4.472;4.764;4.852;4.94;5.019;5.099;5.14;5.182;5.224;5.266;5.228;5.266;5.257;5.249;5.295;5.341;5.387;5.433;5.433;5.433;5.345;5.257;5.242;5.227;5.212;5.197;5.182;5.167;5.152;5.137;5.122;5.107;5.09;5.074;5.057;5.04;5.023;5.007;4.99;4.973;4.956;4.94;4.896;4.852;4.808;4.764;4.72;4.676;4.633;4.589;4.545;4.501;4.457;4.413;4.369;4.325;4.282;4.238;4.194;4.15;4.106;4.062
26;0;0.543;1.087;1.63;2.173;2.782;3.39;3.868;4.346;4.651;4.955;5.046;5.137;5.22;5.303;5.346;5.389;5.433;5.476;5.437;5.476;5.468;5.459;5.507;5.555;5.602;5.65;5.65;5.65;5.559;5.468;5.452;5.436;5.421;5.405;5.389;5.374;5.358;5.343;5.327;5.311;5.294;5.276;5.259;5.242;5.224;5.207;5.19;5.172;5.155;5.137;5.092;5.046;5;4.955;4.909;4.864;4.818;4.772;4.727;4.681;4.635;4.59;4.544;4.498;4.453;4.407;4.362;4.316;4.27;4.225
27;0;0.564;1.128;1.693;2.257;2.889;3.521;4.017;4.514;4.829;5.145;5.24;5.335;5.421;5.506;5.552;5.597;5.642;5.687;5.646;5.687;5.678;5.669;5.719;5.768;5.818;5.868;5.868;5.868;5.773;5.678;5.662;5.645;5.629;5.613;5.597;5.58;5.564;5.548;5.532;5.515;5.497;5.479;5.461;5.443;5.425;5.407;5.389;5.371;5.353;5.335;5.288;5.24;5.193;5.145;5.098;5.051;5.003;4.956;4.908;4.861;4.814;4.766;4.719;4.671;4.624;4.577;4.529;4.482;4.435;4.387
28;0;0.585;1.17;1.755;2.34;2.996;3.651;4.166;4.681;5.008;5.336;5.434;5.533;5.621;5.71;5.757;5.804;5.851;5.898;5.856;5.898;5.888;5.879;5.93;5.982;6.033;6.085;6.085;6.085;5.987;5.888;5.871;5.855;5.838;5.821;5.804;5.787;5.77;5.753;5.737;5.72;5.701;5.682;5.664;5.645;5.626;5.607;5.589;5.57;5.551;5.533;5.483;5.434;5.385;5.336;5.287;5.238;5.189;5.139;5.09;5.041;4.992;4.943;4.894;4.844;4.795;4.746;4.697;4.648;4.599;4.55
29;0;0.606;1.212;1.818;2.424;3.103;3.781;4.315;4.848;5.187;5.527;5.628;5.73;5.822;5.914;5.963;6.011;6.06;6.108;6.065;6.108;6.099;6.089;6.142;6.196;6.249;6.302;6.302;6.302;6.2;6.099;6.081;6.064;6.046;6.029;6.011;5.994;5.976;5.959;5.942;5.924;5.905;5.885;5.866;5.846;5.827;5.808;5.788;5.769;5.75;5.73;5.679;5.628;5.577;5.527;5.476;5.425;5.374;5.323;5.272;5.221;5.17;5.119;5.068;5.018;4.967;4.916;4.865;4.814;4.763;4.712
30;0;0.627;1.254;1.881;2.507;3.21;3.912;4.463;5.015;5.366;5.717;5.822;5.928;6.023;6.118;6.168;6.219;6.269;6.319;6.274;6.319;6.309;6.299;6.354;6.409;6.464;6.519;6.519;6.519;6.414;6.309;6.291;6.273;6.255;6.237;6.219;6.201;6.182;6.164;6.146;6.128;6.108;6.088;6.068;6.048;6.028;6.008;5.988;5.968;5.948;5.928;5.875;5.822;5.77;5.717;5.664;5.612;5.559;5.506;5.454;5.401;5.348;5.296;5.243;5.191;5.138;5.085;5.033;4.98;4.927;4.875
31;0;0.652;1.304;1.956;2.608;3.327;4.045;4.597;5.149;5.483;5.817;5.921;6.025;6.122;6.219;6.269;6.319;6.369;6.419;6.389;6.453;6.446;6.439;6.493;6.546;6.601;6.657;6.658;6.66;6.561;6.463;6.447;6.431;6.416;6.4;6.384;6.368;6.353;6.337;6.321;6.306;6.284;6.262;6.24;6.219;6.197;6.175;6.153;6.132;6.11;6.088;6.034;5.98;5.926;5.872;5.817;5.763;5.709;5.655;5.601;5.547;5.492;5.438;5.384;5.33;5.276;5.222;5.167;5.113;5.059;5.005
32;0;0.677;1.354;2.031;2.708;3.444;4.179;4.731;5.282;5.6;5.918;6.02;6.122;6.22;6.319;6.369;6.419;6.469;6.52;6.504;6.586;6.583;6.58;6.632;6.683;6.738;6.794;6.797;6.8;6.708;6.616;6.603;6.59;6.576;6.563;6.55;6.536;6.523;6.509;6.496;6.483;6.459;6.436;6.413;6.389;6.366;6.342;6.319;6.295;6.272;6.249;6.193;6.137;6.082;6.026;5.97;5.915;5.859;5.803;5.748;5.692;5.636;5.581;5.525;5.469;5.414;5.358;5.302;5.247;5.191;5.135
33;0;0.702;1.404;2.106;2.808;3.561;4.313;4.865;5.416;5.717;6.018;6.118;6.219;6.319;6.419;6.469;6.519;6.57;6.62;6.62;6.72;6.72;6.72;6.77;6.82;6.876;6.931;6.936;6.941;6.856;6.77;6.759;6.748;6.737;6.726;6.715;6.704;6.693;6.682;6.671;6.66;6.635;6.61;6.585;6.56;6.535;6.509;6.484;6.459;6.434;6.409;6.352;6.295;6.238;6.18;6.123;6.066;6.009;5.952;5.895;5.837;5.78;5.723;5.666;5.609;5.552;5.494;5.437;5.38;5.323;5.266
34;0;0.727;1.454;2.182;2.909;3.661;4.413;4.965;5.516;5.801;6.085;6.202;6.319;6.419;6.52;6.57;6.62;6.687;6.754;6.735;6.817;6.834;6.85;6.917;6.984;7.038;7.091;7.095;7.098;7.009;6.921;6.91;6.899;6.888;6.877;6.866;6.855;6.843;6.832;6.821;6.81;6.783;6.756;6.729;6.702;6.675;6.648;6.621;6.594;6.567;6.54;6.484;6.429;6.373;6.318;6.262;6.207;6.151;6.096;6.04;5.985;5.929;5.874;5.818;5.763;5.707;5.652;5.596;5.541;5.485;5.43
35;0;0.752;1.504;2.257;3.009;3.761;4.514;5.065;5.617;5.884;6.152;6.285;6.419;6.52;6.62;6.67;6.72;6.804;6.887;6.85;6.914;6.947;6.981;7.064;7.148;7.2;7.252;7.253;7.255;7.163;7.071;7.06;7.049;7.038;7.027;7.016;7.005;6.994;6.983;6.972;6.961;6.932;6.903;6.874;6.844;6.815;6.786;6.757;6.728;6.699;6.67;6.616;6.562;6.508;6.455;6.401;6.347;6.293;6.239;6.186;6.132;6.078;6.024;5.97;5.916;5.863;5.809;5.755;5.701;5.647;5.593
36;0;0.777;1.555;2.332;3.109;3.862;4.614;5.165;5.717;5.968;6.219;6.369;6.519;6.62;6.72;6.77;6.82;6.921;7.021;6.966;7.011;7.061;7.111;7.212;7.312;7.362;7.412;7.412;7.412;7.317;7.222;7.211;7.2;7.189;7.177;7.166;7.155;7.144;7.133;7.122;7.111;7.08;7.049;7.018;6.987;6.956;6.925;6.894;6.863;6.831;6.8;6.748;6.696;6.644;6.592;6.54;6.487;6.435;6.383;6.331;6.279;6.227;6.174;6.122;6.07;6.018;5.966;5.914;5.862;5.809;5.757
37;0;0.794;1.588;2.382;3.176;3.945;4.714;5.249;5.784;6.035;6.285;6.436;6.586;6.687;6.787;6.854;6.921;7.021;7.121;7.081;7.145;7.21;7.275;7.359;7.442;7.501;7.559;7.551;7.543;7.462;7.382;7.368;7.355;7.341;7.327;7.314;7.3;7.286;7.272;7.259;7.245;7.214;7.183;7.152;7.121;7.09;7.058;7.027;6.996;6.965;6.934;6.883;6.832;6.782;6.731;6.68;6.629;6.578;6.528;6.477;6.426;6.375;6.324;6.273;6.223;6.172;6.121;6.07;6.019;5.969;5.918
38;0;0.811;1.622;2.432;3.243;4.029;4.814;5.333;5.851;6.102;6.352;6.503;6.653;6.754;6.854;6.937;7.021;7.121;7.222;7.197;7.278;7.359;7.439;7.506;7.573;7.64;7.706;7.69;7.673;7.608;7.543;7.526;7.51;7.493;7.477;7.461;7.444;7.428;7.412;7.395;7.379;7.348;7.317;7.285;7.254;7.223;7.192;7.161;7.13;7.099;7.068;7.018;6.969;6.919;6.87;6.82;6.771;6.721;6.672;6.622;6.573;6.524;6.474;6.425;6.375;6.326;6.276;6.227;6.177;6.128;6.078
39;0;0.827;1.655;2.482;3.31;4.112;4.915;5.416;5.918;6.168;6.419;6.57;6.72;6.82;6.921;7.021;7.121;7.222;7.322;7.312;7.412;7.507;7.603;7.653;7.703;7.778;7.853;7.828;7.803;7.753;7.703;7.684;7.665;7.646;7.627;7.608;7.589;7.57;7.551;7.532;7.512;7.481;7.45;7.419;7.388;7.357;7.326;7.295;7.264;7.233;7.202;7.153;7.105;7.057;7.009;6.961;6.913;6.865;6.816;6.768;6.72;6.672;6.624;6.576;6.528;6.479;6.431;6.383;6.335;6.287;6.239
40;0;0.844;1.688;2.533;3.377;4.186;4.995;5.49;5.985;6.235;6.486;6.653;6.82;6.921;7.021;7.138;7.255;7.339;7.422;7.41;7.509;7.623;7.736;7.803;7.87;7.925;7.981;7.959;7.937;7.904;7.87;7.851;7.831;7.812;7.793;7.773;7.754;7.734;7.715;7.696;7.676;7.641;7.606;7.571;7.536;7.501;7.466;7.431;7.395;7.36;7.325;7.277;7.229;7.181;7.133;7.085;7.036;6.988;6.94;6.892;6.844;6.796;6.748;6.699;6.651;6.603;6.555;6.507;6.459;6.411;6.362
41;0;0.861;1.722;2.583;3.444;4.259;5.075;5.563;6.051;6.302;6.553;6.737;6.921;7.021;7.121;7.255;7.389;7.456;7.522;7.509;7.606;7.738;7.87;7.954;8.037;8.072;8.108;8.089;8.071;8.054;8.037;8.018;7.998;7.978;7.958;7.939;7.919;7.899;7.88;7.86;7.84;7.801;7.762;7.723;7.684;7.645;7.605;7.566;7.527;7.488;7.449;7.401;7.353;7.305;7.256;7.208;7.16;7.112;7.064;7.016;6.968;6.919;6.871;6.823;6.775;6.727;6.679;6.63;6.582;6.534;6.486
42;0;0.878;1.755;2.633;3.51;4.333;5.155;5.637;6.118;6.369;6.62;6.82;7.021;7.121;7.222;7.372;7.522;7.573;7.623;7.608;7.703;7.853;8.004;8.104;8.205;8.22;8.235;8.22;8.205;8.205;8.205;8.184;8.164;8.144;8.124;8.104;8.084;8.064;8.044;8.024;8.004;7.961;7.918;7.875;7.831;7.788;7.745;7.702;7.659;7.616;7.573;7.525;7.476;7.428;7.38;7.332;7.284;7.236;7.187;7.139;7.091;7.043;6.995;6.947;6.899;6.85;6.802;6.754;6.706;6.658;6.61
43;0;0.894;1.789;2.683;3.577;4.41;5.242;5.714;6.185;6.436;6.687;6.887;7.088;7.205;7.322;7.472;7.623;7.69;7.757;7.74;7.837;7.986;8.134;8.245;8.355;8.372;8.388;8.362;8.335;8.352;8.368;8.345;8.322;8.298;8.275;8.251;8.228;8.205;8.181;8.158;8.134;8.091;8.047;8.003;7.959;7.915;7.872;7.828;7.784;7.74;7.696;7.648;7.599;7.55;7.501;7.452;7.403;7.355;7.306;7.257;7.208;7.159;7.111;7.062;7.013;6.964;6.915;6.867;6.818;6.769;6.72
44;0;0.911;1.822;2.733;3.644;4.487;5.329;5.791;6.252;6.503;6.754;6.954;7.155;7.288;7.422;7.573;7.723;7.807;7.89;7.872;7.971;8.118;8.265;8.385;8.505;8.524;8.542;8.504;8.465;8.499;8.532;8.505;8.479;8.452;8.425;8.398;8.372;8.345;8.318;8.291;8.265;8.22;8.176;8.131;8.087;8.042;7.998;7.953;7.909;7.865;7.82;7.771;7.721;7.672;7.622;7.573;7.523;7.474;7.424;7.375;7.325;7.276;7.226;7.177;7.127;7.078;7.028;6.979;6.929;6.88;6.83
45;0;0.928;1.856;2.783;3.711;4.564;5.416;5.868;6.319;6.57;6.82;7.021;7.222;7.372;7.522;7.673;7.823;7.924;8.024;8.004;8.104;8.25;8.395;8.526;8.656;8.676;8.696;8.646;8.596;8.646;8.696;8.666;8.636;8.606;8.576;8.546;8.515;8.485;8.455;8.425;8.395;8.35;8.305;8.26;8.215;8.169;8.124;8.079;8.034;7.989;7.944;7.894;7.843;7.793;7.743;7.693;7.643;7.593;7.543;7.492;7.442;7.392;7.342;7.292;7.242;7.192;7.141;7.091;7.041;6.991;6.941
46;0;0.948;1.896;2.844;3.791;4.634;5.476;5.918;6.359;6.62;6.881;7.091;7.302;7.462;7.623;7.773;7.924;8.034;8.144;8.132;8.243;8.388;8.534;8.658;8.782;8.798;8.814;8.764;8.714;8.774;8.834;8.804;8.774;8.744;8.714;8.684;8.654;8.624;8.594;8.564;8.534;8.489;8.444;8.399;8.354;8.309;8.264;8.219;8.174;8.129;8.084;8.033;7.982;7.93;7.879;7.828;7.777;7.725;7.674;7.623;7.572;7.52;7.469;7.418;7.367;7.315;7.264;7.213;7.162;7.11;7.059
47;0;0.968;1.936;2.904;3.872;4.704;5.537;5.968;6.399;6.67;6.941;7.161;7.382;7.553;7.723;7.874;8.024;8.144;8.265;8.261;8.381;8.527;8.672;8.79;8.909;8.921;8.933;8.883;8.832;8.903;8.973;8.943;8.913;8.883;8.852;8.822;8.792;8.762;8.732;8.702;8.672;8.627;8.582;8.538;8.493;8.448;8.404;8.359;8.314;8.269;8.225;8.172;8.12;8.068;8.015;7.963;7.91;7.858;7.806;7.753;7.701;7.649;7.596;7.544;7.492;7.439;7.387;7.335;7.282;7.23;7.177
