TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
10;0;0.318;0.635;0.936;1.237;1.488;1.739;1.906;2.073;2.09;2.106;2.223;2.34;2.39;2.441;2.457;2.474;2.491;2.508;2.502;2.534;2.551;2.568;2.584;2.601;2.618;2.635;2.635;2.635;2.651;2.668;2.668;2.668;2.668;2.668;2.668;2.668;2.668;2.668;2.668;2.668;2.664;2.659;2.655;2.651;2.646;2.642;2.638;2.633;2.629;2.625;2.598;2.571;2.544;2.518;2.491;2.464;2.437;2.411;2.384;2.357;2.331;2.305;2.279;2.253;2.227;2.201;2.175;2.148;2.122;2.096
11;0;0.349;0.699;1.03;1.361;1.637;1.912;2.096;2.28;2.299;2.317;2.446;2.574;2.63;2.685;2.703;2.721;2.74;2.758;2.753;2.788;2.806;2.824;2.843;2.861;2.88;2.898;2.898;2.898;2.916;2.935;2.935;2.935;2.935;2.935;2.935;2.935;2.935;2.935;2.935;2.935;2.93;2.925;2.92;2.916;2.911;2.906;2.901;2.897;2.892;2.887;2.858;2.828;2.799;2.769;2.74;2.71;2.681;2.652;2.622;2.593;2.564;2.535;2.507;2.478;2.449;2.421;2.392;2.363;2.335;2.306
12;0;0.381;0.762;1.123;1.484;1.785;2.086;2.287;2.487;2.508;2.528;2.668;2.808;2.869;2.929;2.949;2.969;2.989;3.009;3.003;3.041;3.061;3.081;3.101;3.121;3.141;3.161;3.161;3.161;3.182;3.202;3.202;3.202;3.202;3.202;3.202;3.202;3.202;3.202;3.202;3.202;3.196;3.191;3.186;3.181;3.175;3.17;3.165;3.16;3.155;3.149;3.117;3.085;3.053;3.021;2.989;2.957;2.925;2.893;2.861;2.828;2.797;2.766;2.735;2.703;2.672;2.641;2.609;2.578;2.547;2.516
13;0;0.413;0.826;1.217;1.608;1.934;2.26;2.477;2.695;2.716;2.738;2.89;3.042;3.108;3.173;3.195;3.216;3.238;3.26;3.253;3.295;3.316;3.338;3.36;3.381;3.403;3.425;3.425;3.425;3.447;3.468;3.468;3.468;3.468;3.468;3.468;3.468;3.468;3.468;3.468;3.468;3.463;3.457;3.451;3.446;3.44;3.434;3.429;3.423;3.418;3.412;3.377;3.342;3.308;3.273;3.238;3.203;3.168;3.134;3.099;3.064;3.03;2.996;2.962;2.929;2.895;2.861;2.827;2.793;2.759;2.725
14;0;0.445;0.889;1.311;1.732;2.083;2.434;2.668;2.902;2.925;2.949;3.113;3.276;3.347;3.417;3.44;3.464;3.487;3.51;3.503;3.548;3.571;3.595;3.618;3.642;3.665;3.688;3.688;3.688;3.712;3.735;3.735;3.735;3.735;3.735;3.735;3.735;3.735;3.735;3.735;3.735;3.729;3.723;3.717;3.711;3.705;3.699;3.693;3.686;3.68;3.674;3.637;3.599;3.562;3.525;3.487;3.45;3.412;3.375;3.337;3.3;3.263;3.227;3.19;3.154;3.117;3.081;3.044;3.008;2.971;2.935
15;0;0.476;0.953;1.404;1.856;2.232;2.608;2.859;3.109;3.134;3.159;3.335;3.51;3.586;3.661;3.686;3.711;3.736;3.761;3.754;3.801;3.826;3.852;3.877;3.902;3.927;3.952;3.952;3.952;3.977;4.002;4.002;4.002;4.002;4.002;4.002;4.002;4.002;4.002;4.002;4.002;3.995;3.989;3.982;3.976;3.969;3.963;3.956;3.95;3.943;3.937;3.897;3.857;3.816;3.776;3.736;3.696;3.656;3.616;3.576;3.536;3.496;3.457;3.418;3.379;3.34;3.301;3.262;3.223;3.184;3.144
16;0;0.508;1.016;1.498;1.979;2.38;2.782;3.049;3.317;3.343;3.37;3.557;3.745;3.825;3.905;3.932;3.959;3.985;4.012;4.004;4.055;4.082;4.108;4.135;4.162;4.189;4.215;4.215;4.215;4.242;4.269;4.269;4.269;4.269;4.269;4.269;4.269;4.269;4.269;4.269;4.269;4.262;4.255;4.248;4.241;4.234;4.227;4.22;4.213;4.206;4.199;4.156;4.114;4.071;4.028;3.985;3.942;3.9;3.857;3.814;3.771;3.73;3.688;3.646;3.604;3.563;3.521;3.479;3.437;3.396;3.354
17;0;0.54;1.08;1.591;2.103;2.529;2.956;3.24;3.524;3.552;3.581;3.78;3.979;4.064;4.149;4.177;4.206;4.234;4.263;4.254;4.308;4.337;4.365;4.393;4.422;4.45;4.479;4.479;4.479;4.507;4.536;4.536;4.536;4.536;4.536;4.536;4.536;4.536;4.536;4.536;4.536;4.528;4.521;4.513;4.506;4.499;4.491;4.484;4.476;4.469;4.462;4.416;4.371;4.325;4.28;4.234;4.189;4.143;4.098;4.052;4.007;3.963;3.918;3.874;3.83;3.785;3.741;3.697;3.652;3.608;3.564
18;0;0.572;1.143;1.685;2.227;2.678;3.129;3.43;3.731;3.761;3.791;4.002;4.213;4.303;4.393;4.423;4.453;4.483;4.514;4.504;4.562;4.592;4.622;4.652;4.682;4.712;4.742;4.742;4.742;4.772;4.802;4.802;4.802;4.802;4.802;4.802;4.802;4.802;4.802;4.802;4.802;4.795;4.787;4.779;4.771;4.763;4.755;4.748;4.74;4.732;4.724;4.676;4.628;4.58;4.532;4.483;4.435;4.387;4.339;4.291;4.243;4.196;4.149;4.102;4.055;4.008;3.961;3.914;3.867;3.82;3.773
19;0;0.603;1.207;1.779;2.35;2.827;3.303;3.621;3.938;3.97;4.002;4.224;4.447;4.542;4.637;4.669;4.701;4.732;4.764;4.755;4.815;4.847;4.879;4.91;4.942;4.974;5.006;5.006;5.006;5.037;5.069;5.069;5.069;5.069;5.069;5.069;5.069;5.069;5.069;5.069;5.069;5.061;5.053;5.044;5.036;5.028;5.02;5.011;5.003;4.995;4.987;4.936;4.885;4.834;4.783;4.732;4.682;4.631;4.58;4.529;4.478;4.429;4.379;4.33;4.28;4.231;4.181;4.132;4.082;4.032;3.983
20;0;0.635;1.27;1.872;2.474;2.976;3.477;3.811;4.146;4.179;4.213;4.447;4.681;4.781;4.881;4.915;4.948;4.982;5.015;5.005;5.068;5.102;5.135;5.169;5.202;5.236;5.269;5.269;5.269;5.303;5.336;5.336;5.336;5.336;5.336;5.336;5.336;5.336;5.336;5.336;5.336;5.327;5.319;5.31;5.301;5.292;5.284;5.275;5.266;5.258;5.249;5.196;5.142;5.089;5.035;4.982;4.928;4.875;4.821;4.768;4.714;4.662;4.61;4.558;4.505;4.453;4.401;4.349;4.297;4.245;4.193
21;0;0.667;1.334;1.966;2.598;3.124;3.651;4.002;4.353;4.388;4.423;4.669;4.915;5.02;5.125;5.16;5.196;5.231;5.266;5.255;5.322;5.357;5.392;5.427;5.462;5.497;5.533;5.533;5.533;5.568;5.603;5.603;5.603;5.603;5.603;5.603;5.603;5.603;5.603;5.603;5.603;5.594;5.585;5.575;5.566;5.557;5.548;5.539;5.53;5.521;5.511;5.455;5.399;5.343;5.287;5.231;5.174;5.118;5.062;5.006;4.95;4.895;4.84;4.786;4.731;4.676;4.621;4.566;4.512;4.457;4.402
22;0;0.699;1.398;2.059;2.721;3.273;3.825;4.193;4.56;4.597;4.634;4.891;5.149;5.259;5.369;5.406;5.443;5.48;5.517;5.505;5.575;5.612;5.649;5.686;5.722;5.759;5.796;5.796;5.796;5.833;5.87;5.87;5.87;5.87;5.87;5.87;5.87;5.87;5.87;5.87;5.87;5.86;5.85;5.841;5.831;5.822;5.812;5.803;5.793;5.783;5.774;5.715;5.656;5.597;5.539;5.48;5.421;5.362;5.303;5.244;5.186;5.128;5.071;5.013;4.956;4.899;4.841;4.784;4.727;4.669;4.612
23;0;0.731;1.461;2.153;2.845;3.422;3.999;4.383;4.768;4.806;4.844;5.114;5.383;5.498;5.613;5.652;5.69;5.729;5.767;5.756;5.829;5.867;5.906;5.944;5.983;6.021;6.059;6.059;6.059;6.098;6.136;6.136;6.136;6.136;6.136;6.136;6.136;6.136;6.136;6.136;6.136;6.126;6.116;6.106;6.096;6.086;6.076;6.066;6.056;6.046;6.036;5.975;5.913;5.852;5.79;5.729;5.667;5.606;5.544;5.483;5.421;5.361;5.301;5.241;5.181;5.121;5.061;5.001;4.941;4.881;4.821
24;0;0.762;1.525;2.247;2.969;3.571;4.172;4.574;4.975;5.015;5.055;5.336;5.617;5.737;5.858;5.898;5.938;5.978;6.018;6.006;6.082;6.122;6.162;6.203;6.243;6.283;6.323;6.323;6.323;6.363;6.403;6.403;6.403;6.403;6.403;6.403;6.403;6.403;6.403;6.403;6.403;6.393;6.382;6.372;6.361;6.351;6.341;6.33;6.32;6.309;6.299;6.235;6.17;6.106;6.042;5.978;5.914;5.849;5.785;5.721;5.657;5.594;5.532;5.469;5.407;5.344;5.281;5.219;5.156;5.094;5.031
25;0;0.794;1.588;2.34;3.093;3.719;4.346;4.764;5.182;5.224;5.266;5.558;5.851;5.976;6.102;6.143;6.185;6.227;6.269;6.256;6.336;6.377;6.419;6.461;6.503;6.545;6.586;6.586;6.586;6.628;6.67;6.67;6.67;6.67;6.67;6.67;6.67;6.67;6.67;6.67;6.67;6.659;6.648;6.637;6.626;6.616;6.605;6.594;6.583;6.572;6.561;6.494;6.428;6.361;6.294;6.227;6.16;6.093;6.026;5.959;5.893;5.827;5.762;5.697;5.632;5.567;5.501;5.436;5.371;5.306;5.241
26;0;0.826;1.652;2.434;3.216;3.868;4.52;4.955;5.389;5.433;5.476;5.781;6.085;6.215;6.346;6.389;6.433;6.476;6.519;6.506;6.589;6.633;6.676;6.719;6.763;6.806;6.85;6.85;6.85;6.893;6.937;6.937;6.937;6.937;6.937;6.937;6.937;6.937;6.937;6.937;6.937;6.925;6.914;6.903;6.892;6.88;6.869;6.858;6.846;6.835;6.824;6.754;6.685;6.615;6.546;6.476;6.406;6.337;6.267;6.198;6.128;6.061;5.993;5.925;5.857;5.789;5.722;5.654;5.586;5.518;5.45
27;0;0.858;1.715;2.528;3.34;4.017;4.694;5.145;5.597;5.642;5.687;6.003;6.319;6.454;6.59;6.635;6.68;6.725;6.77;6.757;6.842;6.888;6.933;6.978;7.023;7.068;7.113;7.113;7.113;7.158;7.204;7.204;7.204;7.204;7.204;7.204;7.204;7.204;7.204;7.204;7.204;7.192;7.18;7.168;7.157;7.145;7.133;7.121;7.11;7.098;7.086;7.014;6.942;6.87;6.797;6.725;6.653;6.581;6.508;6.436;6.364;6.294;6.223;6.153;6.082;6.012;5.942;5.871;5.801;5.73;5.66
28;0;0.889;1.779;2.621;3.464;4.166;4.868;5.336;5.804;5.851;5.898;6.225;6.553;6.693;6.834;6.881;6.927;6.974;7.021;7.007;7.096;7.143;7.19;7.236;7.283;7.33;7.377;7.377;7.377;7.424;7.47;7.47;7.47;7.47;7.47;7.47;7.47;7.47;7.47;7.47;7.47;7.458;7.446;7.434;7.422;7.409;7.397;7.385;7.373;7.361;7.349;7.274;7.199;7.124;7.049;6.974;6.899;6.824;6.75;6.675;6.6;6.527;6.454;6.381;6.308;6.235;6.162;6.089;6.016;5.943;5.87
29;0;0.921;1.842;2.715;3.587;4.315;5.042;5.527;6.011;6.06;6.108;6.448;6.787;6.932;7.078;7.126;7.175;7.223;7.272;7.257;7.349;7.398;7.446;7.495;7.543;7.592;7.64;7.64;7.64;7.689;7.737;7.737;7.737;7.737;7.737;7.737;7.737;7.737;7.737;7.737;7.737;7.725;7.712;7.699;7.687;7.674;7.662;7.649;7.636;7.624;7.611;7.534;7.456;7.378;7.301;7.223;7.146;7.068;6.991;6.913;6.835;6.76;6.684;6.609;6.533;6.457;6.382;6.306;6.23;6.155;6.079
30;0;0.953;1.906;2.808;3.711;4.463;5.216;5.717;6.219;6.269;6.319;6.67;7.021;7.171;7.322;7.372;7.422;7.472;7.522;7.507;7.603;7.653;7.703;7.753;7.803;7.853;7.904;7.904;7.904;7.954;8.004;8.004;8.004;8.004;8.004;8.004;8.004;8.004;8.004;8.004;8.004;7.991;7.978;7.965;7.952;7.939;7.926;7.913;7.9;7.887;7.874;7.793;7.713;7.633;7.553;7.472;7.392;7.312;7.232;7.151;7.071;6.993;6.915;6.836;6.758;6.68;6.602;6.524;6.445;6.367;6.289
31;0;0.983;1.966;2.929;3.892;4.674;5.456;5.978;6.499;6.55;6.6;6.981;7.362;7.502;7.643;7.703;7.763;7.813;7.864;7.853;7.96;8.01;8.06;8.119;8.178;8.229;8.279;8.279;8.279;8.329;8.379;8.383;8.387;8.391;8.395;8.399;8.399;8.399;8.399;8.399;8.399;8.385;8.371;8.358;8.344;8.33;8.316;8.302;8.288;8.275;8.261;8.176;8.091;8.007;7.922;7.837;7.753;7.668;7.583;7.499;7.414;7.332;7.249;7.167;7.084;7.002;6.919;6.837;6.755;6.672;6.59
32;0;1.013;2.026;3.049;4.072;4.885;5.697;6.239;6.78;6.83;6.881;7.292;7.703;7.833;7.964;8.034;8.104;8.154;8.205;8.2;8.317;8.367;8.417;8.485;8.554;8.604;8.654;8.654;8.654;8.704;8.754;8.762;8.77;8.778;8.786;8.794;8.794;8.794;8.794;8.794;8.794;8.78;8.765;8.75;8.736;8.721;8.706;8.692;8.677;8.663;8.648;8.559;8.47;8.381;8.292;8.203;8.113;8.024;7.935;7.846;7.757;7.671;7.584;7.497;7.411;7.324;7.237;7.151;7.064;6.977;6.891
33;0;1.043;2.086;3.169;4.253;5.095;5.938;6.499;7.061;7.111;7.161;7.603;8.044;8.164;8.285;8.365;8.445;8.495;8.546;8.546;8.674;8.724;8.774;8.851;8.929;8.979;9.029;9.029;9.029;9.079;9.129;9.141;9.153;9.165;9.177;9.189;9.189;9.189;9.189;9.189;9.189;9.174;9.159;9.143;9.128;9.112;9.097;9.081;9.066;9.05;9.035;8.942;8.848;8.755;8.661;8.568;8.474;8.381;8.287;8.194;8.1;8.009;7.918;7.828;7.737;7.646;7.555;7.464;7.373;7.282;7.192
34;0;1.073;2.146;3.29;4.433;5.306;6.178;6.76;7.342;7.392;7.442;7.914;8.385;8.495;8.606;8.696;8.786;8.836;8.887;8.892;9.031;9.081;9.131;9.218;9.304;9.354;9.404;9.404;9.404;9.454;9.504;9.52;9.537;9.553;9.569;9.585;9.585;9.585;9.585;9.585;9.585;9.568;9.552;9.536;9.52;9.503;9.487;9.471;9.455;9.438;9.422;9.324;9.226;9.129;9.031;8.933;8.835;8.737;8.639;8.541;8.443;8.348;8.253;8.158;8.063;7.968;7.873;7.778;7.683;7.587;7.492
35;0;1.103;2.207;3.41;4.614;5.517;6.419;7.021;7.623;7.673;7.723;8.225;8.726;8.826;8.927;9.027;9.127;9.177;9.228;9.238;9.388;9.438;9.488;9.584;9.679;9.729;9.779;9.779;9.779;9.829;9.88;9.9;9.92;9.94;9.96;9.98;9.98;9.98;9.98;9.98;9.98;9.963;9.946;9.929;9.912;9.895;9.878;9.86;9.843;9.826;9.809;9.707;9.605;9.502;9.4;9.298;9.196;9.093;8.991;8.889;8.786;8.687;8.588;8.488;8.389;8.29;8.19;8.091;7.992;7.893;7.793
36;0;1.163;2.327;3.571;4.814;5.757;6.7;7.322;7.944;8.014;8.084;8.596;9.107;9.218;9.328;9.428;9.529;9.589;9.649;9.653;9.803;9.862;9.922;10.008;10.094;10.144;10.194;10.205;10.215;10.265;10.315;10.335;10.355;10.375;10.395;10.415;10.415;10.415;10.415;10.415;10.415;10.397;10.379;10.362;10.344;10.326;10.308;10.29;10.272;10.254;10.237;10.13;10.023;9.916;9.809;9.702;9.595;9.488;9.381;9.274;9.167;9.066;8.964;8.862;8.76;8.658;8.556;8.454;8.352;8.25;8.148
37;0;1.224;2.447;3.731;5.015;5.998;6.981;7.623;8.265;8.355;8.445;8.967;9.488;9.609;9.729;9.829;9.93;10;10.07;10.068;10.219;10.287;10.355;10.432;10.509;10.56;10.61;10.63;10.65;10.7;10.75;10.77;10.79;10.81;10.83;10.85;10.85;10.85;10.85;10.85;10.85;10.832;10.813;10.794;10.776;10.757;10.739;10.72;10.701;10.683;10.664;10.552;10.441;10.329;10.218;10.106;9.995;9.883;9.772;9.66;9.549;9.444;9.34;9.235;9.131;9.026;8.921;8.817;8.712;8.608;8.503
38;0;1.284;2.568;3.892;5.216;6.239;7.262;7.924;8.586;8.696;8.806;9.338;9.87;10;10.13;10.231;10.331;10.411;10.491;10.483;10.634;10.711;10.788;10.856;10.925;10.975;11.025;11.055;11.085;11.135;11.185;11.206;11.226;11.246;11.266;11.286;11.286;11.286;11.286;11.286;11.286;11.266;11.247;11.227;11.208;11.188;11.169;11.15;11.13;11.111;11.091;10.975;10.859;10.743;10.627;10.51;10.394;10.278;10.162;10.046;9.93;9.823;9.715;9.608;9.501;9.394;9.287;9.18;9.073;8.966;8.858
39;0;1.344;2.688;4.052;5.416;6.479;7.543;8.225;8.907;9.037;9.167;9.709;10.251;10.391;10.532;10.632;10.732;10.822;10.913;10.899;11.049;11.135;11.222;11.281;11.34;11.39;11.44;11.48;11.52;11.571;11.621;11.641;11.661;11.681;11.701;11.721;11.721;11.721;11.721;11.721;11.721;11.701;11.681;11.66;11.64;11.62;11.599;11.579;11.559;11.539;11.518;11.398;11.277;11.156;11.035;10.915;10.794;10.673;10.552;10.432;10.311;10.201;10.091;9.982;9.872;9.762;9.652;9.543;9.433;9.323;9.214
40;0;1.404;2.808;4.213;5.617;6.72;7.823;8.526;9.228;9.378;9.529;10.08;10.632;10.782;10.933;11.033;11.133;11.234;11.334;11.314;11.464;11.56;11.655;11.705;11.755;11.805;11.855;11.906;11.956;12.006;12.056;12.076;12.096;12.116;12.136;12.156;12.156;12.156;12.156;12.156;12.156;12.135;12.114;12.093;12.072;12.051;12.03;12.009;11.988;11.967;11.946;11.82;11.695;11.57;11.444;11.319;11.193;11.068;10.943;10.817;10.692;10.58;10.467;10.355;10.243;10.13;10.018;9.906;9.793;9.681;9.569
41;0;1.434;2.869;4.303;5.737;6.85;7.964;8.656;9.348;9.488;9.629;10.17;10.712;10.873;11.033;11.143;11.254;11.364;11.474;11.442;11.583;11.678;11.773;11.823;11.874;11.934;11.994;12.044;12.094;12.144;12.194;12.218;12.242;12.265;12.289;12.313;12.313;12.313;12.313;12.313;12.313;12.292;12.271;12.25;12.229;12.208;12.186;12.165;12.144;12.123;12.102;11.975;11.847;11.719;11.592;11.464;11.337;11.209;11.082;10.954;10.826;10.712;10.598;10.483;10.369;10.255;10.14;10.026;9.912;9.797;9.683
42;0;1.464;2.929;4.393;5.858;6.981;8.104;8.786;9.468;9.599;9.729;10.261;10.792;10.963;11.133;11.254;11.374;11.494;11.615;11.571;11.701;11.796;11.892;11.942;11.992;12.062;12.132;12.182;12.233;12.283;12.333;12.36;12.387;12.415;12.442;12.469;12.469;12.469;12.469;12.469;12.469;12.448;12.427;12.406;12.385;12.364;12.343;12.322;12.301;12.28;12.259;12.129;11.999;11.869;11.74;11.61;11.48;11.35;11.22;11.091;10.961;10.844;10.728;10.612;10.495;10.379;10.263;10.146;10.03;9.914;9.797
43;0;1.494;2.989;4.483;5.978;7.111;8.245;8.917;9.589;9.709;9.829;10.351;10.873;11.053;11.234;11.364;11.494;11.625;11.755;11.699;11.819;11.915;12.01;12.06;12.11;12.19;12.271;12.321;12.371;12.421;12.471;12.502;12.533;12.564;12.595;12.626;12.626;12.626;12.626;12.626;12.626;12.605;12.584;12.563;12.542;12.52;12.499;12.478;12.457;12.436;12.415;12.283;12.151;12.019;11.887;11.755;11.623;11.491;11.359;11.227;11.095;10.977;10.858;10.74;10.622;10.503;10.385;10.267;10.148;10.03;9.912
44;0;1.525;3.049;4.574;6.098;7.242;8.385;9.047;9.709;9.819;9.93;10.441;10.953;11.143;11.334;11.474;11.615;11.755;11.896;11.827;11.938;12.033;12.128;12.178;12.229;12.319;12.409;12.459;12.509;12.56;12.61;12.644;12.679;12.713;12.748;12.782;12.782;12.782;12.782;12.782;12.782;12.761;12.74;12.719;12.698;12.677;12.656;12.635;12.614;12.593;12.572;12.437;12.303;12.169;12.035;11.901;11.766;11.632;11.498;11.364;11.23;11.109;10.989;10.869;10.748;10.628;10.507;10.387;10.267;10.146;10.026
45;0;1.555;3.109;4.664;6.219;7.372;8.526;9.177;9.829;9.93;10.03;10.532;11.033;11.234;11.434;11.585;11.735;11.886;12.036;11.956;12.056;12.151;12.247;12.297;12.347;12.447;12.548;12.598;12.648;12.698;12.748;12.786;12.824;12.862;12.901;12.939;12.939;12.939;12.939;12.939;12.939;12.918;12.897;12.876;12.854;12.833;12.812;12.791;12.77;12.749;12.728;12.592;12.455;12.319;12.182;12.046;11.91;11.773;11.637;11.5;11.364;11.242;11.119;10.997;10.875;10.752;10.63;10.507;10.385;10.263;10.14
46;0;1.575;3.149;4.734;6.319;7.472;8.626;9.228;9.829;9.97;10.11;10.612;11.113;11.324;11.535;11.685;11.835;11.986;12.136;12.064;12.174;12.271;12.367;12.426;12.485;12.586;12.686;12.736;12.786;12.855;12.925;12.967;13.01;13.052;13.095;13.137;13.137;13.137;13.137;13.137;13.137;13.116;13.094;13.073;13.051;13.03;13.009;12.987;12.966;12.944;12.923;12.784;12.645;12.507;12.368;12.23;12.091;11.952;11.814;11.675;11.537;11.414;11.291;11.168;11.045;10.923;10.8;10.677;10.554;10.432;10.309
47;0;1.595;3.19;4.804;6.419;7.573;8.726;9.278;9.829;10.01;10.19;10.692;11.193;11.414;11.635;11.785;11.936;12.086;12.237;12.172;12.293;12.39;12.487;12.556;12.624;12.724;12.824;12.875;12.925;13.013;13.101;13.148;13.195;13.242;13.289;13.336;13.336;13.336;13.336;13.336;13.336;13.314;13.292;13.27;13.248;13.227;13.205;13.183;13.161;13.139;13.117;12.976;12.836;12.695;12.554;12.413;12.272;12.131;11.991;11.85;11.709;11.586;11.463;11.34;11.216;11.093;10.97;10.847;10.724;10.601;10.477
