TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
10;0;0.061;0.122;0.183;0.244;0.305;0.366;1.114;1.862;1.513;1.165;1.933;2.701;3.187;3.674;3.802;3.931;3.78;3.646;3.562;3.534;3.416;3.297;3.178;3.06;2.941;2.823;2.704;2.585;2.467;2.348;2.229;2.111;1.992;1.874;1.755;1.636;1.518;1.399;1.28;1.162;1.089;1.017;0.944;0.872;0.799;0.727;0.654;0.582;0.509;0.437;0.416;0.395;0.375;0.354;0.333;0.312;0.292;0.271;0.25;0.229;0.209;0.188;0.167;0.146;0.126;0.105;0.084;0.063;0.043;0.022
11;0;0.067;0.134;0.201;0.268;0.335;0.402;1.225;2.048;1.665;1.281;2.126;2.971;3.506;4.041;4.182;4.324;4.158;4.01;3.918;3.888;3.757;3.627;3.496;3.366;3.235;3.105;2.974;2.844;2.713;2.583;2.452;2.322;2.191;2.061;1.93;1.8;1.669;1.539;1.408;1.278;1.198;1.118;1.039;0.959;0.879;0.8;0.72;0.64;0.56;0.481;0.458;0.435;0.412;0.389;0.366;0.344;0.321;0.298;0.275;0.252;0.229;0.207;0.184;0.161;0.138;0.115;0.092;0.07;0.047;0.024
12;0;0.073;0.146;0.219;0.292;0.366;0.439;1.336;2.234;1.816;1.398;2.319;3.241;3.825;4.408;4.563;4.717;4.536;4.375;4.275;4.241;4.099;3.957;3.814;3.672;3.529;3.387;3.245;3.102;2.96;2.818;2.675;2.533;2.391;2.248;2.106;1.963;1.821;1.679;1.536;1.394;1.307;1.22;1.133;1.046;0.959;0.872;0.785;0.698;0.611;0.524;0.499;0.474;0.45;0.425;0.4;0.375;0.35;0.325;0.3;0.275;0.25;0.225;0.201;0.176;0.151;0.126;0.101;0.076;0.051;0.026
13;0;0.079;0.158;0.238;0.317;0.396;0.475;1.448;2.42;1.967;1.514;2.513;3.511;4.144;4.776;4.943;5.11;4.914;4.74;4.631;4.595;4.44;4.286;4.132;3.978;3.824;3.669;3.515;3.361;3.207;3.052;2.898;2.744;2.59;2.436;2.281;2.127;1.973;1.819;1.664;1.51;1.416;1.322;1.228;1.133;1.039;0.945;0.851;0.756;0.662;0.568;0.541;0.514;0.487;0.46;0.433;0.406;0.379;0.352;0.325;0.298;0.271;0.244;0.217;0.19;0.163;0.136;0.109;0.082;0.055;0.028
14;0;0.085;0.171;0.256;0.341;0.426;0.512;1.559;2.606;2.118;1.631;2.706;3.781;4.462;5.143;5.323;5.503;5.292;5.104;4.987;4.948;4.782;4.616;4.45;4.284;4.118;3.952;3.786;3.619;3.453;3.287;3.121;2.955;2.789;2.623;2.457;2.291;2.125;1.959;1.792;1.626;1.525;1.423;1.322;1.22;1.119;1.018;0.916;0.815;0.713;0.612;0.583;0.554;0.524;0.495;0.466;0.437;0.408;0.379;0.35;0.321;0.292;0.263;0.234;0.205;0.176;0.147;0.118;0.089;0.06;0.031
15;0;0.091;0.183;0.274;0.366;0.457;0.548;1.67;2.793;2.27;1.747;2.899;4.052;4.781;5.51;5.703;5.896;5.67;5.469;5.343;5.302;5.124;4.946;4.768;4.59;4.412;4.234;4.056;3.878;3.7;3.522;3.344;3.166;2.988;2.81;2.632;2.454;2.276;2.098;1.921;1.743;1.634;1.525;1.416;1.308;1.199;1.09;0.982;0.873;0.764;0.655;0.624;0.593;0.562;0.531;0.5;0.469;0.437;0.406;0.375;0.344;0.313;0.282;0.251;0.22;0.188;0.157;0.126;0.095;0.064;0.033
16;0;0.097;0.195;0.292;0.39;0.487;0.585;1.782;2.979;2.421;1.863;3.093;4.322;5.1;5.878;6.084;6.289;6.048;5.833;5.7;5.655;5.465;5.275;5.086;4.896;4.706;4.516;4.326;4.137;3.947;3.757;3.567;3.377;3.187;2.998;2.808;2.618;2.428;2.238;2.049;1.859;1.743;1.627;1.511;1.395;1.279;1.163;1.047;0.931;0.815;0.699;0.666;0.633;0.599;0.566;0.533;0.5;0.467;0.433;0.4;0.367;0.334;0.301;0.267;0.234;0.201;0.168;0.135;0.101;0.068;0.035
17;0;0.104;0.207;0.311;0.414;0.518;0.621;1.893;3.165;2.572;1.98;3.286;4.592;5.418;6.245;6.464;6.682;6.426;6.198;6.056;6.008;5.807;5.605;5.403;5.202;5;4.798;4.597;4.395;4.193;3.992;3.79;3.588;3.387;3.185;2.983;2.782;2.58;2.378;2.177;1.975;1.852;1.728;1.605;1.482;1.359;1.236;1.112;0.989;0.866;0.743;0.707;0.672;0.637;0.602;0.566;0.531;0.496;0.46;0.425;0.39;0.355;0.319;0.284;0.249;0.214;0.178;0.143;0.108;0.072;0.037
18;0;0.11;0.219;0.329;0.439;0.548;0.658;2.005;3.351;2.724;2.096;3.479;4.862;5.737;6.613;6.844;7.076;6.804;6.563;6.412;6.362;6.148;5.935;5.721;5.508;5.294;5.081;4.867;4.654;4.44;4.226;4.013;3.799;3.586;3.372;3.159;2.945;2.732;2.518;2.305;2.091;1.961;1.83;1.7;1.569;1.439;1.308;1.178;1.047;0.917;0.786;0.749;0.712;0.674;0.637;0.6;0.562;0.525;0.488;0.45;0.413;0.375;0.338;0.301;0.263;0.226;0.189;0.151;0.114;0.077;0.039
19;0;0.116;0.231;0.347;0.463;0.579;0.694;2.116;3.537;2.875;2.213;3.672;5.132;6.056;6.98;7.224;7.469;7.182;6.927;6.768;6.715;6.49;6.265;6.039;5.814;5.588;5.363;5.138;4.912;4.687;4.461;4.236;4.01;3.785;3.56;3.334;3.109;2.883;2.658;2.433;2.207;2.07;1.932;1.794;1.656;1.519;1.381;1.243;1.106;0.968;0.83;0.791;0.751;0.712;0.672;0.633;0.594;0.554;0.515;0.475;0.436;0.396;0.357;0.317;0.278;0.239;0.199;0.16;0.12;0.081;0.041
20;0;0.122;0.244;0.366;0.487;0.609;0.731;2.227;3.723;3.026;2.329;3.866;5.402;6.375;7.347;7.605;7.862;7.56;7.292;7.125;7.069;6.832;6.594;6.357;6.12;5.882;5.645;5.408;5.171;4.933;4.696;4.459;4.222;3.984;3.747;3.51;3.272;3.035;2.798;2.561;2.323;2.178;2.033;1.889;1.744;1.599;1.454;1.309;1.164;1.019;0.874;0.832;0.791;0.749;0.708;0.666;0.625;0.583;0.542;0.5;0.459;0.417;0.376;0.334;0.293;0.251;0.21;0.168;0.127;0.085;0.044
21;0;0.128;0.256;0.384;0.512;0.64;0.768;2.339;3.91;3.178;2.446;4.059;5.672;6.693;7.715;7.985;8.255;7.938;7.656;7.481;7.422;7.173;6.924;6.675;6.426;6.177;5.927;5.678;5.429;5.18;4.931;4.682;4.433;4.184;3.934;3.685;3.436;3.187;2.938;2.689;2.44;2.287;2.135;1.983;1.831;1.679;1.526;1.374;1.222;1.07;0.917;0.874;0.83;0.787;0.743;0.7;0.656;0.612;0.569;0.525;0.482;0.438;0.394;0.351;0.307;0.264;0.22;0.177;0.133;0.089;0.046
22;0;0.134;0.268;0.402;0.536;0.67;0.804;2.45;4.096;3.329;2.562;4.252;5.942;7.012;8.082;8.365;8.648;8.316;8.021;7.837;7.776;7.515;7.254;6.993;6.732;6.471;6.21;5.949;5.688;5.427;5.166;4.905;4.644;4.383;4.122;3.861;3.6;3.339;3.078;2.817;2.556;2.396;2.237;2.077;1.918;1.758;1.599;1.44;1.28;1.121;0.961;0.916;0.87;0.824;0.779;0.733;0.687;0.642;0.596;0.55;0.505;0.459;0.413;0.368;0.322;0.276;0.231;0.185;0.139;0.094;0.048
23;0;0.14;0.28;0.42;0.56;0.701;0.841;2.561;4.282;3.48;2.679;4.446;6.212;7.331;8.449;8.745;9.041;8.694;8.386;8.193;8.129;7.856;7.583;7.311;7.038;6.765;6.492;6.219;5.946;5.673;5.401;5.128;4.855;4.582;4.309;4.036;3.763;3.491;3.218;2.945;2.672;2.505;2.339;2.172;2.005;1.838;1.672;1.505;1.338;1.172;1.005;0.957;0.909;0.862;0.814;0.766;0.718;0.671;0.623;0.575;0.528;0.48;0.432;0.384;0.337;0.289;0.241;0.193;0.146;0.098;0.05
24;0;0.146;0.292;0.439;0.585;0.731;0.877;2.673;4.468;3.632;2.795;4.639;6.482;7.65;8.817;9.125;9.434;9.072;8.75;8.549;8.483;8.198;7.913;7.628;7.344;7.059;6.774;6.489;6.205;5.92;5.635;5.351;5.066;4.781;4.496;4.212;3.927;3.642;3.358;3.073;2.788;2.614;2.44;2.266;2.092;1.918;1.744;1.57;1.396;1.223;1.049;0.999;0.949;0.899;0.849;0.8;0.75;0.7;0.65;0.6;0.55;0.501;0.451;0.401;0.351;0.301;0.252;0.202;0.152;0.102;0.052
25;0;0.152;0.305;0.457;0.609;0.761;0.914;2.784;4.654;3.783;2.912;4.832;6.753;7.968;9.184;9.506;9.827;9.45;9.115;8.906;8.836;8.539;8.243;7.946;7.65;7.353;7.056;6.76;6.463;6.167;5.87;5.574;5.277;4.98;4.684;4.387;4.091;3.794;3.497;3.201;2.904;2.723;2.542;2.361;2.179;1.998;1.817;1.636;1.455;1.273;1.092;1.04;0.988;0.937;0.885;0.833;0.781;0.729;0.677;0.625;0.573;0.522;0.47;0.418;0.366;0.314;0.262;0.21;0.158;0.106;0.055
26;0;0.158;0.317;0.475;0.634;0.792;0.95;2.895;4.841;3.934;3.028;5.025;7.023;8.287;9.551;9.886;10.22;9.828;9.479;9.262;9.189;8.881;8.573;8.264;7.956;7.647;7.339;7.03;6.722;6.413;6.105;5.796;5.488;5.18;4.871;4.563;4.254;3.946;3.637;3.329;3.02;2.832;2.644;2.455;2.267;2.078;1.89;1.701;1.513;1.324;1.136;1.082;1.028;0.974;0.92;0.866;0.812;0.758;0.704;0.65;0.596;0.542;0.488;0.434;0.381;0.327;0.273;0.219;0.165;0.111;0.057
27;0;0.164;0.329;0.493;0.658;0.822;0.987;3.007;5.027;4.086;3.145;5.219;7.293;8.606;9.919;10.266;10.613;10.206;9.844;9.618;9.543;9.223;8.902;8.582;8.262;7.941;7.621;7.301;6.98;6.66;6.34;6.019;5.699;5.379;5.058;4.738;4.418;4.098;3.777;3.457;3.137;2.941;2.745;2.55;2.354;2.158;1.962;1.767;1.571;1.375;1.18;1.124;1.068;1.012;0.955;0.899;0.843;0.787;0.731;0.675;0.619;0.563;0.507;0.451;0.395;0.339;0.283;0.227;0.171;0.115;0.059
28;0;0.171;0.341;0.512;0.682;0.853;1.023;3.118;5.213;4.237;3.261;5.412;7.563;8.925;10.286;10.646;11.006;10.584;10.209;9.974;9.896;9.564;9.232;8.9;8.568;8.235;7.903;7.571;7.239;6.907;6.575;6.242;5.91;5.578;5.246;4.914;4.581;4.249;3.917;3.585;3.253;3.05;2.847;2.644;2.441;2.238;2.035;1.832;1.629;1.426;1.223;1.165;1.107;1.049;0.991;0.933;0.875;0.817;0.758;0.7;0.642;0.584;0.526;0.468;0.41;0.352;0.294;0.235;0.177;0.119;0.061
29;0;0.177;0.353;0.53;0.707;0.883;1.06;3.23;5.399;4.388;3.378;5.605;7.833;9.243;10.654;11.027;11.4;10.962;10.573;10.331;10.25;9.906;9.562;9.218;8.874;8.53;8.186;7.841;7.497;7.153;6.809;6.465;6.121;5.777;5.433;5.089;4.745;4.401;4.057;3.713;3.369;3.159;2.949;2.738;2.528;2.318;2.108;1.898;1.687;1.477;1.267;1.207;1.147;1.086;1.026;0.966;0.906;0.846;0.786;0.725;0.665;0.605;0.545;0.485;0.424;0.364;0.304;0.244;0.184;0.123;0.063
30;0;0.183;0.366;0.548;0.731;0.914;1.097;3.341;5.585;4.54;3.494;5.799;8.103;9.562;11.021;11.407;11.793;11.34;10.938;10.687;10.603;10.247;9.891;9.535;9.18;8.824;8.468;8.112;7.756;7.4;7.044;6.688;6.332;5.976;5.621;5.265;4.909;4.553;4.197;3.841;3.485;3.268;3.05;2.833;2.615;2.398;2.18;1.963;1.746;1.528;1.311;1.248;1.186;1.124;1.062;0.999;0.937;0.875;0.813;0.75;0.688;0.626;0.564;0.501;0.439;0.377;0.315;0.252;0.19;0.128;0.065
31;0;0.189;0.378;0.567;0.755;0.944;1.133;3.452;5.771;4.691;3.61;5.992;8.373;9.881;11.388;11.787;12.186;11.717;11.302;11.043;10.957;10.589;10.221;9.853;9.486;9.118;8.75;8.382;8.014;7.647;7.279;6.911;6.543;6.176;5.808;5.44;5.072;4.705;4.337;3.969;3.601;3.377;3.152;2.927;2.703;2.478;2.253;2.028;1.804;1.579;1.354;1.29;1.226;1.161;1.097;1.033;0.968;0.904;0.84;0.775;0.711;0.647;0.582;0.518;0.454;0.389;0.325;0.261;0.196;0.132;0.068
32;0;0.195;0.39;0.585;0.78;0.975;1.17;3.564;5.958;4.842;3.727;6.185;8.643;10.199;11.756;12.167;12.579;12.095;11.667;11.399;11.31;10.93;10.551;10.171;9.792;9.412;9.032;8.653;8.273;7.893;7.514;7.134;6.755;6.375;5.995;5.616;5.236;4.856;4.477;4.097;3.717;3.486;3.254;3.022;2.79;2.558;2.326;2.094;1.862;1.63;1.398;1.332;1.265;1.199;1.132;1.066;1;0.933;0.867;0.8;0.734;0.668;0.601;0.535;0.468;0.402;0.335;0.269;0.203;0.136;0.07
33;0;0.201;0.402;0.603;0.804;1.005;1.206;3.675;6.144;4.994;3.843;6.378;8.913;10.518;12.123;12.547;12.972;12.473;12.031;11.755;11.664;11.272;10.881;10.489;10.098;9.706;9.315;8.923;8.532;8.14;7.749;7.357;6.966;6.574;6.183;5.791;5.4;5.008;4.617;4.225;3.834;3.594;3.355;3.116;2.877;2.638;2.399;2.159;1.92;1.681;1.442;1.373;1.305;1.236;1.168;1.099;1.031;0.962;0.894;0.825;0.757;0.688;0.62;0.551;0.483;0.414;0.346;0.277;0.209;0.141;0.072
34;0;0.207;0.414;0.621;0.828;1.036;1.243;3.786;6.33;5.145;3.96;6.572;9.183;10.837;12.49;12.928;13.365;12.851;12.396;12.112;12.017;11.614;11.21;10.807;10.404;10;9.597;9.193;8.79;8.387;7.983;7.58;7.177;6.773;6.37;5.967;5.563;5.16;4.757;4.353;3.95;3.703;3.457;3.211;2.964;2.718;2.471;2.225;1.978;1.732;1.485;1.415;1.344;1.274;1.203;1.133;1.062;0.992;0.921;0.85;0.78;0.709;0.639;0.568;0.498;0.427;0.356;0.286;0.215;0.145;0.074
35;0;0.509;1.018;1.527;2.036;2.545;3.054;5.65;8.247;8.02;7.793;10.005;12.217;12.833;13.449;13.691;13.934;13.655;13.46;13.433;13.607;13.291;12.976;12.661;12.345;12.03;11.714;11.399;11.084;10.768;10.453;10.137;9.822;9.507;9.191;8.876;8.56;8.245;7.93;7.614;7.299;7.01;6.722;6.433;6.145;5.856;5.567;5.279;4.99;4.702;4.413;4.203;3.993;3.783;3.573;3.363;3.152;2.942;2.732;2.522;2.312;2.102;1.892;1.682;1.471;1.261;1.051;0.841;0.631;0.421;0.211
36;0;0.707;1.415;2.122;2.83;3.537;4.245;6.972;9.7;9.81;9.921;11.369;12.817;13.228;13.639;13.87;14.102;13.931;13.86;13.949;14.25;13.991;13.731;13.472;13.213;12.954;12.695;12.436;12.177;11.918;11.659;11.4;11.141;10.882;10.623;10.363;10.104;9.845;9.586;9.327;9.068;8.759;8.451;8.142;7.834;7.525;7.216;6.908;6.599;6.291;5.982;5.72;5.458;5.197;4.935;4.673;4.411;4.15;3.888;3.626;3.365;3.103;2.841;2.579;2.318;2.056;1.794;1.532;1.271;1.009;0.747
37;0;0.902;1.805;2.707;3.609;4.511;5.414;7.915;10.416;10.526;10.637;11.83;13.022;13.394;13.765;14.02;14.276;14.14;14.11;14.24;14.587;14.341;14.095;13.849;13.603;13.357;13.111;12.865;12.619;12.373;12.128;11.882;11.636;11.39;11.144;10.898;10.652;10.406;10.16;9.914;9.668;9.343;9.017;8.692;8.367;8.041;7.716;7.39;7.065;6.739;6.414;6.136;5.859;5.582;5.305;5.027;4.75;4.473;4.196;3.918;3.641;3.364;3.087;2.809;2.532;2.255;1.978;1.7;1.423;1.146;0.869
38;0;1.097;2.194;3.291;4.388;5.486;6.583;8.857;11.132;11.243;11.353;12.29;13.228;13.56;13.892;14.17;14.449;14.349;14.36;14.531;14.924;14.691;14.458;14.225;13.993;13.76;13.527;13.294;13.062;12.829;12.596;12.363;12.131;11.898;11.665;11.432;11.2;10.967;10.734;10.501;10.269;9.926;9.584;9.242;8.899;8.557;8.215;7.872;7.53;7.188;6.845;6.553;6.26;5.967;5.674;5.382;5.089;4.796;4.503;4.21;3.918;3.625;3.332;3.039;2.747;2.454;2.161;1.868;1.576;1.283;0.99
39;0;1.231;2.461;3.692;4.922;6.153;7.383;9.409;11.434;11.529;11.623;12.503;13.382;13.721;14.06;14.335;14.611;14.503;14.504;14.67;15.06;14.838;14.616;14.394;14.172;13.949;13.727;13.505;13.283;13.06;12.838;12.616;12.394;12.172;11.949;11.727;11.505;11.283;11.061;10.838;10.616;10.28;9.943;9.607;9.271;8.934;8.598;8.262;7.925;7.589;7.253;6.943;6.633;6.323;6.013;5.703;5.393;5.083;4.773;4.463;4.153;3.843;3.533;3.223;2.913;2.603;2.293;1.983;1.673;1.363;1.053
40;0;1.364;2.728;4.092;5.456;6.82;8.183;9.96;11.736;11.815;11.894;12.715;13.536;13.883;14.229;14.5;14.772;14.656;14.648;14.808;15.197;14.985;14.774;14.562;14.35;14.139;13.927;13.715;13.504;13.292;13.08;12.869;12.657;12.445;12.234;12.022;11.81;11.599;11.387;11.175;10.963;10.633;10.303;9.972;9.642;9.312;8.981;8.651;8.321;7.99;7.66;7.333;7.006;6.678;6.351;6.024;5.697;5.37;5.042;4.715;4.388;4.061;3.734;3.407;3.079;2.752;2.425;2.098;1.771;1.444;1.116
41;0;1.497;2.995;4.492;5.989;7.487;8.984;10.511;12.038;12.101;12.164;12.928;13.691;14.044;14.397;14.665;14.934;14.81;14.792;14.947;15.334;15.133;14.932;14.73;14.529;14.328;14.127;13.926;13.725;13.523;13.322;13.121;12.92;12.719;12.518;12.317;12.115;11.914;11.713;11.512;11.311;10.986;10.662;10.338;10.013;9.689;9.365;9.04;8.716;8.391;8.067;7.723;7.378;7.034;6.69;6.345;6.001;5.656;5.312;4.968;4.623;4.279;3.935;3.59;3.246;2.901;2.557;2.213;1.868;1.524;1.18
42;0;1.551;3.102;4.653;6.205;7.756;9.307;10.746;12.185;12.285;12.384;13.095;13.807;14.169;14.53;14.809;15.088;14.97;14.958;15.122;15.52;15.316;15.113;14.909;14.706;14.502;14.299;14.095;13.892;13.688;13.485;13.281;13.078;12.874;12.671;12.467;12.264;12.06;11.857;11.653;11.45;11.129;10.807;10.486;10.165;9.844;9.523;9.202;8.881;8.56;8.239;7.887;7.535;7.183;6.831;6.48;6.128;5.776;5.424;5.072;4.72;4.368;4.016;3.664;3.312;2.96;2.608;2.256;1.904;1.553;1.201
43;0;1.605;3.21;4.815;6.42;8.025;9.63;10.981;12.333;12.468;12.603;13.263;13.923;14.293;14.664;14.953;15.243;15.13;15.125;15.296;15.706;15.5;15.294;15.088;14.882;14.677;14.471;14.265;14.059;13.853;13.647;13.441;13.235;13.03;12.824;12.618;12.412;12.206;12;11.794;11.588;11.271;10.953;10.635;10.317;10;9.682;9.364;9.047;8.729;8.411;8.052;7.692;7.333;6.973;6.614;6.254;5.895;5.535;5.176;4.816;4.457;4.097;3.738;3.379;3.019;2.66;2.3;1.941;1.581;1.222
44;0;1.659;3.318;4.976;6.635;8.294;9.953;11.217;12.48;12.651;12.822;13.43;14.038;14.418;14.797;15.097;15.397;15.289;15.292;15.471;15.892;15.684;15.476;15.267;15.059;14.851;14.643;14.434;14.226;14.018;13.81;13.601;13.393;13.185;12.977;12.768;12.56;12.352;12.144;11.935;11.727;11.413;11.098;10.784;10.47;10.155;9.841;9.526;9.212;8.898;8.583;8.216;7.849;7.482;7.115;6.748;6.381;6.014;5.647;5.28;4.913;4.546;4.179;3.812;3.445;3.078;2.711;2.344;1.977;1.61;1.243
45;0;1.713;3.425;5.138;6.85;8.563;10.276;11.452;12.628;12.835;13.042;13.598;14.154;14.542;14.931;15.241;15.552;15.449;15.459;15.646;16.078;15.867;15.657;15.446;15.236;15.025;14.814;14.604;14.393;14.183;13.972;13.761;13.551;13.34;13.13;12.919;12.708;12.498;12.287;12.076;11.866;11.555;11.244;10.933;10.622;10.311;9.999;9.688;9.377;9.066;8.755;8.381;8.006;7.631;7.257;6.882;6.508;6.133;5.759;5.384;5.009;4.635;4.26;3.886;3.511;3.137;2.762;2.387;2.013;1.638;1.264
46;0;1.766;3.533;5.299;7.066;8.832;10.599;11.687;12.775;13.018;13.261;13.766;14.27;14.667;15.064;15.385;15.706;15.609;15.625;15.82;16.264;16.051;15.838;15.625;15.412;15.199;14.986;14.773;14.56;14.347;14.134;13.921;13.708;13.495;13.282;13.069;12.856;12.644;12.431;12.218;12.005;11.697;11.389;11.081;10.774;10.466;10.158;9.85;9.543;9.235;8.927;8.545;8.163;7.781;7.399;7.017;6.634;6.252;5.87;5.488;5.106;4.724;4.342;3.96;3.578;3.195;2.813;2.431;2.049;1.667;1.285
47;0;1.82;3.641;5.461;7.281;9.101;10.922;11.922;12.923;13.201;13.48;13.933;14.386;14.792;15.197;15.529;15.86;15.768;15.792;15.995;16.45;16.235;16.02;15.804;15.589;15.373;15.158;14.943;14.727;14.512;14.297;14.081;13.866;13.651;13.435;13.22;13.005;12.789;12.574;12.359;12.143;11.839;11.535;11.23;10.926;10.621;10.317;10.012;9.708;9.404;9.099;8.71;8.32;7.93;7.541;7.151;6.761;6.372;5.982;5.592;5.203;4.813;4.423;4.034;3.644;3.254;2.865;2.475;2.085;1.696;1.306
