TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
28;0;1.278;2.556;3.763;4.971;5.977;6.984;7.658;8.332;8.397;8.463;8.931;9.399;9.6;9.801;9.876;9.951;10.017;10.082;10.063;10.194;10.26;10.326;10.391;10.457;10.522;10.588;10.588;10.588;10.653;10.719;10.719;10.719;10.719;10.719;10.719;10.678;10.636;10.595;10.554;10.513;10.474;10.436;10.398;10.359;10.321;10.282;10.244;10.206;10.167;10.129;10;9.871;9.741;9.612;9.483;9.354;9.225;9.095;8.966;8.837;8.731;8.626;8.52;8.414;8.308;8.202;8.097;7.991;7.885;7.779
29;0;1.323;2.647;3.898;5.148;6.191;7.233;7.931;8.629;8.697;8.765;9.25;9.734;9.943;10.151;10.229;10.306;10.374;10.442;10.423;10.559;10.626;10.694;10.762;10.83;10.898;10.966;10.966;10.966;11.034;11.102;11.102;11.102;11.102;11.102;11.102;11.059;11.016;10.974;10.931;10.888;10.848;10.809;10.769;10.729;10.689;10.65;10.61;10.57;10.53;10.491;10.357;10.223;10.089;9.956;9.822;9.688;9.554;9.42;9.287;9.153;9.043;8.934;8.824;8.714;8.605;8.495;8.386;8.276;8.167;8.057
30;0;1.369;2.738;4.032;5.326;6.404;7.482;8.205;8.927;8.997;9.067;9.569;10.07;10.286;10.501;10.582;10.662;10.732;10.802;10.782;10.923;10.993;11.063;11.133;11.204;11.274;11.344;11.344;11.344;11.414;11.484;11.484;11.484;11.484;11.484;11.484;11.44;11.396;11.352;11.308;11.264;11.223;11.181;11.14;11.099;11.058;11.017;10.976;10.935;10.894;10.852;10.714;10.576;10.437;10.299;10.16;10.022;9.884;9.745;9.607;9.468;9.355;9.242;9.128;9.015;8.902;8.788;8.675;8.562;8.448;8.335
31;0;1.412;2.824;4.205;5.585;6.707;7.829;8.58;9.33;9.401;9.472;10.017;10.562;10.762;10.963;11.056;11.149;11.22;11.29;11.278;11.434;11.504;11.575;11.659;11.743;11.813;11.884;11.884;11.884;11.954;12.024;12.03;12.035;12.041;12.046;12.052;12.006;11.959;11.912;11.866;11.819;11.776;11.733;11.69;11.647;11.604;11.561;11.517;11.474;11.431;11.388;11.242;11.096;10.95;10.804;10.658;10.512;10.366;10.22;10.074;9.928;9.808;9.689;9.569;9.449;9.33;9.21;9.091;8.971;8.852;8.732
32;0;1.455;2.911;4.377;5.843;7.01;8.176;8.955;9.733;9.805;9.878;10.465;11.053;11.239;11.424;11.53;11.637;11.707;11.777;11.773;11.946;12.016;12.086;12.184;12.283;12.353;12.423;12.423;12.423;12.493;12.564;12.575;12.586;12.597;12.609;12.62;12.571;12.522;12.473;12.424;12.375;12.33;12.285;12.24;12.194;12.149;12.104;12.059;12.014;11.969;11.924;11.77;11.616;11.463;11.309;11.155;11.002;10.848;10.694;10.541;10.387;10.261;10.136;10.01;9.884;9.758;9.632;9.507;9.381;9.255;9.129
33;0;1.498;2.997;4.55;6.102;7.313;8.523;9.33;10.136;10.21;10.283;10.914;11.545;11.715;11.886;12.005;12.124;12.194;12.265;12.269;12.457;12.527;12.598;12.71;12.822;12.893;12.963;12.963;12.963;13.033;13.103;13.12;13.137;13.154;13.171;13.187;13.136;13.085;13.033;12.982;12.931;12.884;12.836;12.789;12.742;12.695;12.648;12.601;12.554;12.506;12.459;12.298;12.137;11.975;11.814;11.653;11.492;11.33;11.169;11.008;10.846;10.714;10.582;10.45;10.318;10.186;10.054;9.922;9.79;9.658;9.526
34;0;1.542;3.083;4.722;6.361;7.616;8.871;9.705;10.54;10.614;10.688;11.362;12.036;12.191;12.347;12.479;12.612;12.682;12.752;12.764;12.969;13.039;13.109;13.236;13.362;13.432;13.502;13.502;13.502;13.573;13.643;13.665;13.688;13.71;13.733;13.755;13.701;13.648;13.594;13.54;13.486;13.437;13.388;13.339;13.29;13.241;13.191;13.142;13.093;13.044;12.995;12.826;12.657;12.488;12.319;12.15;11.981;11.813;11.644;11.475;11.306;11.168;11.029;10.891;10.753;10.615;10.477;10.338;10.2;10.062;9.924
35;0;1.585;3.169;4.895;6.62;7.919;9.218;10.08;10.943;11.018;11.093;11.81;12.527;12.668;12.808;12.954;13.099;13.169;13.24;13.26;13.48;13.551;13.621;13.761;13.902;13.972;14.042;14.042;14.042;14.112;14.182;14.211;14.239;14.267;14.295;14.323;14.267;14.211;14.154;14.098;14.042;13.991;13.94;13.889;13.837;13.786;13.735;13.684;13.633;13.582;13.53;13.354;13.177;13.001;12.824;12.648;12.471;12.295;12.118;11.942;11.765;11.621;11.476;11.332;11.187;11.043;10.899;10.754;10.61;10.465;10.321
36;0;1.67;3.34;5.124;6.909;8.265;9.621;10.511;11.402;11.506;11.611;12.342;13.073;13.229;13.384;13.529;13.675;13.759;13.843;13.854;14.074;14.159;14.245;14.371;14.497;14.568;14.638;14.652;14.666;14.736;14.806;14.834;14.862;14.891;14.919;14.947;14.888;14.829;14.77;14.711;14.652;14.599;14.546;14.492;14.439;14.386;14.333;14.28;14.227;14.173;14.12;13.936;13.752;13.567;13.383;13.198;13.014;12.83;12.645;12.461;12.277;12.128;11.98;11.832;11.684;11.536;11.387;11.239;11.091;10.943;10.794
37;0;1.755;3.51;5.354;7.198;8.611;10.024;10.943;11.861;11.995;12.128;12.874;13.619;13.789;13.96;14.105;14.251;14.349;14.447;14.449;14.668;14.768;14.868;14.981;15.093;15.163;15.234;15.262;15.29;15.36;15.43;15.458;15.486;15.514;15.542;15.571;15.509;15.447;15.385;15.323;15.262;15.206;15.151;15.096;15.041;14.986;14.931;14.875;14.82;14.765;14.71;14.518;14.326;14.133;13.941;13.749;13.557;13.365;13.173;12.98;12.788;12.636;12.484;12.332;12.18;12.028;11.876;11.724;11.572;11.42;11.268
38;0;1.841;3.681;5.584;7.486;8.957;10.427;11.374;12.321;12.483;12.646;13.405;14.164;14.35;14.535;14.681;14.826;14.939;15.051;15.044;15.262;15.377;15.492;15.591;15.689;15.759;15.829;15.871;15.914;15.984;16.054;16.082;16.11;16.138;16.166;16.194;16.13;16.065;16.001;15.936;15.871;15.814;15.757;15.7;15.643;15.586;15.528;15.471;15.414;15.357;15.3;15.1;14.9;14.7;14.5;14.3;14.1;13.9;13.7;13.5;13.3;13.144;12.988;12.832;12.676;12.52;12.365;12.209;12.053;11.897;11.741
39;0;1.926;3.852;5.813;7.775;9.303;10.83;11.805;12.78;12.972;13.163;13.937;14.71;14.911;15.111;15.257;15.402;15.528;15.655;15.639;15.855;15.986;16.116;16.2;16.285;16.355;16.425;16.481;16.537;16.608;16.678;16.706;16.734;16.762;16.79;16.818;16.751;16.684;16.616;16.549;16.481;16.422;16.363;16.304;16.245;16.185;16.126;16.067;16.008;15.949;15.89;15.682;15.474;15.266;15.058;14.85;14.643;14.435;14.227;14.019;13.811;13.652;13.492;13.332;13.173;13.013;12.853;12.694;12.534;12.374;12.215
40;0;2.011;4.022;6.043;8.064;9.649;11.234;12.237;13.24;13.46;13.681;14.468;15.256;15.471;15.687;15.832;15.978;16.118;16.259;16.234;16.449;16.595;16.74;16.81;16.88;16.951;17.021;17.091;17.161;17.232;17.302;17.33;17.358;17.386;17.414;17.442;17.372;17.302;17.232;17.161;17.091;17.03;16.969;16.908;16.846;16.785;16.724;16.663;16.602;16.54;16.479;16.264;16.048;15.832;15.617;15.401;15.185;14.97;14.754;14.538;14.323;14.159;13.996;13.832;13.669;13.505;13.342;13.178;13.015;12.851;12.688
41;0;2.054;4.108;6.172;8.237;9.835;11.434;12.424;13.414;13.62;13.825;14.599;15.372;15.602;15.831;15.992;16.152;16.308;16.463;16.419;16.62;16.764;16.909;16.979;17.049;17.133;17.217;17.288;17.358;17.429;17.5;17.534;17.568;17.601;17.635;17.669;17.598;17.528;17.457;17.386;17.316;17.254;17.192;17.13;17.068;17.006;16.944;16.882;16.82;16.758;16.696;16.476;16.257;16.038;15.818;15.599;15.379;15.16;14.94;14.721;14.501;14.335;14.168;14.002;13.835;13.669;13.502;13.336;13.169;13.003;12.836
42;0;2.097;4.195;6.302;8.409;10.022;11.635;12.612;13.589;13.779;13.97;14.729;15.488;15.732;15.976;16.151;16.327;16.497;16.668;16.605;16.79;16.934;17.077;17.147;17.217;17.316;17.414;17.484;17.555;17.627;17.699;17.738;17.778;17.817;17.856;17.896;17.825;17.754;17.682;17.611;17.54;17.478;17.415;17.352;17.289;17.227;17.164;17.101;17.038;16.975;16.913;16.689;16.466;16.243;16.02;15.796;15.573;15.35;15.126;14.903;14.68;14.51;14.341;14.171;14.002;13.832;13.663;13.493;13.324;13.154;12.985
43;0;2.14;4.281;6.431;8.582;10.209;11.835;12.799;13.763;13.939;14.114;14.859;15.605;15.862;16.12;16.311;16.501;16.687;16.872;16.79;16.961;17.103;17.246;17.316;17.386;17.498;17.611;17.681;17.751;17.824;17.898;17.942;17.987;18.032;18.077;18.122;18.051;17.979;17.908;17.837;17.765;17.702;17.638;17.574;17.511;17.447;17.384;17.32;17.256;17.193;17.129;16.902;16.675;16.448;16.221;15.994;15.767;15.54;15.313;15.086;14.858;14.686;14.513;14.341;14.168;13.996;13.823;13.651;13.478;13.306;13.133
44;0;2.184;4.367;6.561;8.754;10.395;12.036;12.987;13.938;14.098;14.259;14.99;15.721;15.993;16.265;16.47;16.676;16.876;17.077;16.976;17.131;17.273;17.414;17.484;17.555;17.681;17.807;17.877;17.948;18.022;18.096;18.147;18.197;18.248;18.298;18.349;18.277;18.205;18.133;18.062;17.99;17.925;17.861;17.797;17.732;17.668;17.603;17.539;17.475;17.41;17.346;17.115;16.884;16.653;16.422;16.191;15.961;15.73;15.499;15.268;15.037;14.861;14.686;14.51;14.335;14.159;13.984;13.808;13.633;13.457;13.282
45;0;2.227;4.453;6.69;8.927;10.582;12.237;13.174;14.112;14.258;14.403;15.12;15.837;16.123;16.409;16.63;16.85;17.066;17.282;17.161;17.302;17.442;17.583;17.653;17.723;17.863;18.004;18.074;18.144;18.219;18.295;18.351;18.407;18.463;18.519;18.576;18.503;18.431;18.359;18.287;18.214;18.149;18.084;18.019;17.954;17.889;17.823;17.758;17.693;17.628;17.563;17.328;17.093;16.858;16.624;16.389;16.154;15.92;15.685;15.45;15.216;15.037;14.858;14.68;14.501;14.323;14.144;13.966;13.787;13.609;13.43
46;0;2.257;4.514;6.791;9.069;10.724;12.379;13.246;14.112;14.315;14.517;15.235;15.952;16.253;16.554;16.773;16.993;17.208;17.424;17.316;17.47;17.612;17.753;17.837;17.922;18.062;18.202;18.273;18.343;18.446;18.549;18.612;18.674;18.736;18.798;18.86;18.787;18.713;18.639;18.565;18.491;18.425;18.359;18.293;18.227;18.16;18.094;18.028;17.962;17.896;17.829;17.591;17.353;17.114;16.876;16.638;16.399;16.161;15.923;15.685;15.446;15.267;15.088;14.909;14.73;14.551;14.371;14.192;14.013;13.834;13.655
47;0;2.287;4.574;6.893;9.212;10.867;12.521;13.317;14.112;14.372;14.632;15.349;16.066;16.382;16.698;16.917;17.135;17.351;17.567;17.47;17.639;17.781;17.924;18.022;18.12;18.261;18.401;18.471;18.541;18.673;18.804;18.872;18.941;19.009;19.077;19.145;19.07;18.994;18.919;18.844;18.768;18.701;18.634;18.567;18.499;18.432;18.365;18.298;18.231;18.163;18.096;17.854;17.612;17.37;17.128;16.887;16.645;16.403;16.161;15.919;15.677;15.497;15.317;15.138;14.958;14.778;14.598;14.419;14.239;14.059;13.88
